5255985,293.83,1185.77,2914.57
5255991,589.39,97.75,5567.01
5255995,392.16,392.16,3225.80
5256001,1890.55,1992.03,97.75
5256005,886.70,490.68,2093.72
5256009,490.68,2914.57,7789.47
5256015,3018.10,97.75,2708.12
5256019,97.75,97.75,4383.28
5256026,1285.85,1688.18,3959.39
5256030,7337.52,986.19,2195.61
5256036,97.75,97.75,4918.03
5256040,97.75,97.75,4170.91
5256046,886.70,1085.89,4276.99
5256050,2914.57,97.75,3853.95
5256056,97.75,97.75,3121.85
5256060,97.75,97.75,3018.10
5256065,589.39,1789.26,4170.91
5256071,7676.12,8130.94,2811.24
5256075,97.75,97.75,2811.24
5256081,97.75,97.75,2297.70
5256085,787.40,886.70,3538.93
5256089,1386.14,7337.52,97.75
5256095,97.75,97.75,4703.47
5256099,97.75,5241.53,1890.55
5256105,886.70,293.83,3748.74
5256110,11668.48,97.75,97.75
5256116,97.75,97.75,4918.03
5256120,97.75,97.75,8936.17
5256124,986.19,1285.85,2400.00
5256130,688.30,97.75,97.75
5256134,986.19,2297.70,1992.03
5256140,195.69,2605.21,3121.85
5256144,1085.89,490.68,4276.99
5256151,2400.00,97.75,5675.96
5256155,392.16,97.75,3748.74
5256159,97.75,97.75,97.75
5256165,1185.77,688.30,2502.50
5256169,1587.31,293.83,5241.53
5256175,97.75,97.75,3748.74
5256179,4810.64,589.39,4918.03
5256185,1185.77,195.69,3329.97
5256189,195.69,6334.38,4065.04
5256196,293.83,195.69,2811.24
5256200,97.75,1386.14,4918.03
5256206,490.68,392.16,4383.28
5256210,97.75,3329.97,97.75
5256214,97.75,97.75,3018.10
5256220,97.75,1285.85,97.75
5256224,986.19,490.68,1789.26
5256230,1789.26,97.75,1486.62
5256235,97.75,97.75,2605.21
5256239,6777.89,2195.61,2811.24
5256245,490.68,490.68,293.83
5256249,490.68,97.75,4918.03
5256255,3538.93,97.75,4276.99
5256259,97.75,1587.31,1085.89
5256265,293.83,97.75,589.39
5256269,1688.18,97.75,97.75
5256273,1085.89,195.69,2502.50
5256280,97.75,97.75,2502.50
5256284,1992.03,97.75,3853.95
5256290,2093.72,2605.21,5675.96
5256294,195.69,97.75,3748.74
5256300,97.75,97.75,3329.97
5256304,97.75,787.40,4170.91
5256308,1890.55,1890.55,5894.52
5256314,490.68,97.75,3643.73
5256318,97.75,97.75,1890.55
5256325,490.68,1486.62,2914.57
5256329,886.70,688.30,7225.13
5256335,293.83,97.75,6004.14
5256339,97.75,97.75,490.68
5256343,97.75,1587.31,2914.57
5256349,1285.85,3329.97,9518.72
5256353,392.16,293.83,6444.91
5256359,97.75,5025.64,6334.38
5256364,787.40,97.75,4065.04
5256370,787.40,7450.15,8936.17
5256374,293.83,97.75,5894.52
5256380,3748.74,1890.55,3329.97
5256384,392.16,1285.85,1890.55
5256390,195.69,97.75,2297.70
5256394,97.75,392.16,2914.57
5256398,986.19,97.75,4703.47
5256404,1386.14,97.75,4596.53
5256409,9052.18,6004.14,97.75
